Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
6.6899 sec|-1.9187803615417|-0.0379637159381228|-0.877606253049796|0|0|0|0.422715429417895|0.014504941205516|-0.0179584986354008|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
6.8253 sec|-1.860542618939|-0.0359653620252849|-0.88008040551331|0|0|0|0.437812409039963|0.0150229748199987|-0.0185998735866651|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
6.9606 sec|-1.80026144677129|-0.0338968904312948|-0.882641370343964|0|0|0|0.45290938866203|0.0155410084344814|-0.0192412485379294|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
7.096 sec|-1.73793684503857|-0.0317583011561526|-0.885289147541759|0|0|0|0.468006368284098|0.0160590420489641|-0.0198826234891937|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
7.2313 sec|-1.67356881374084|-0.0295495941998581|-0.888023737106696|0|0|0|0.483103347906166|0.0165770756634469|-0.020523998440458|0|0|0|0.111537386760053|0.00382726327117827|-0.00473851643098262|0|0|0
7.3667 sec|-1.60715735287811|-0.0272707695624114|-0.890845139038772|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
7.502 sec|-1.53972417723288|-0.0249568860843886|-0.89370994715442|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
7.6374 sec|-1.47229100158764|-0.0226430026063658|-0.896574755270067|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
7.7727 sec|-1.40485782594241|-0.0203291191283431|-0.899439563385714|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
7.9081 sec|-1.33742465029717|-0.0180152356503203|-0.902304371501361|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
8.0434 sec|-1.26999147465193|-0.0157013521722975|-0.905169179617009|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
8.1788 sec|-1.2025582990067|-0.0133874686942747|-0.908033987732656|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
8.3141 sec|-1.13512512336146|-0.0110735852162519|-0.910898795848303|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
8.4495 sec|-1.06769194771623|-0.00875970173822912|-0.913763603963951|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
8.5848 sec|-1.00025877207099|-0.00644581826020633|-0.916628412079598|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
8.7202 sec|-0.932825596425756|-0.00413193478218354|-0.919493220195245|0|0|0|0.498200327528233|0.0170951092779296|-0.0211653733917223|0|0|0|0|0|0|0|0|0
